merchant_id,customer_id,customer_city,locality,pincode,region,customer_type,age_group,gender,signup_date,total_orders,lifetime_value,preferred_channel,last_purchase_date,source,source_row_id
M001,CUST000015,Chennai,T Nagar,600017,South,Returning,25-34,Female,2024-06-07,8,5623.54,Facebook,2024-03-28,customer_csv,CUST_ROW_000015
M001,CUST000016,Pune,Hinjewadi,411057,West,High-Value,18-24,Female,2024-03-05,49,64982.87,LinkedIn,2024-08-16,customer_csv,CUST_ROW_000016
M001,CUST000017,Bangalore,Whitefield,560066,South,New,18-24,Male,2024-09-29,3,618.31,Facebook,2024-09-12,customer_csv,CUST_ROW_000017
M001,CUST000018,Bangalore,Koramangala,560034,South,Returning,25-34,Male,2024-11-06,18,13733.83,Facebook,2024-11-03,customer_csv,CUST_ROW_000018
M001,CUST000019,Bangalore,HSR Layout,560102,South,High-Value,18-24,Female,2023-08-01,16,17827.65,Instagram,2024-06-27,customer_csv,CUST_ROW_000019
M001,CUST000020,Bangalore,Koramangala,560034,South,Returning,35-44,Male,2023-03-31,4,1948.44,Google Ads,2024-03-23,customer_csv,CUST_ROW_000020
M001,CUST000021,Kochi,Kakkanad,682030,South,High-Value,35-44,Male,2023-02-06,21,44235.88,WhatsApp,2024-07-13,customer_csv,CUST_ROW_000021
M001,CUST000022,Ahmedabad,Satellite,380015,West,New,25-34,Male,2023-10-09,3,1390.58,Facebook,2024-12-22,customer_csv,CUST_ROW_000022
M001,CUST000023,Bangalore,Koramangala,560034,South,New,35-44,Female,2023-03-31,4,2248.15,Facebook,2024-12-27,customer_csv,CUST_ROW_000023
M001,CUST000024,Bangalore,Yelahanka,560064,South,High-Value,18-24,Female,2024-09-30,55,130684.35,Email,2024-09-11,customer_csv,CUST_ROW_000024
M001,CUST000025,Bangalore,MG Road,560001,South,Returning,35-44,Female,2023-08-27,12,14200.87,Instagram,2024-01-13,customer_csv,CUST_ROW_000025
M001,CUST000026,Bangalore,Indiranagar,560038,South,Returning,18-24,Female,2024-02-29,16,6982.3,Facebook,2024-11-22,customer_csv,CUST_ROW_000026
M001,CUST000027,Bangalore,MG Road,560001,South,New,18-24,Female,2023-11-12,3,1360.03,Instagram,2024-01-04,customer_csv,CUST_ROW_000027
M001,CUST000028,Bangalore,Jayanagar,560041,South,New,35-44,Female,2023-01-30,2,594.02,Email,2024-12-10,customer_csv,CUST_ROW_000028
M001,CUST000029,Bangalore,Electronic City,560100,South,Returning,25-34,Female,2024-10-04,17,18931.99,Facebook,2024-06-20,customer_csv,CUST_ROW_000029
M001,CUST000030,Bangalore,JP Nagar,560078,South,High-Value,18-24,Female,2024-08-01,50,87190.06,Instagram,2024-10-22,customer_csv,CUST_ROW_000030
M001,CUST000031,Chennai,T Nagar,600017,South,High-Value,18-24,Male,2024-01-20,78,174103.01,Email,2024-07-18,customer_csv,CUST_ROW_000031
M001,CUST000032,Bangalore,Indiranagar,560038,South,High-Value,35-44,Female,2023-11-19,14,17661.64,Instagram,2024-05-01,customer_csv,CUST_ROW_000032
M001,CUST000033,Bangalore,Marathahalli,560037,South,New,25-34,Male,2023-02-08,2,1313.35,Facebook,2024-01-13,customer_csv,CUST_ROW_000033
M001,CUST000034,Kochi,Kakkanad,682030,South,New,45-54,Female,2024-06-20,3,1763.3,Instagram,2024-02-20,customer_csv,CUST_ROW_000034
M001,CUST000035,Kochi,Kakkanad,682030,South,New,18-24,Male,2024-06-18,1,202.05,Google Ads,2024-12-17,customer_csv,CUST_ROW_000035
M001,CUST000036,Delhi,Rohini,110085,North,Returning,18-24,Female,2024-11-05,12,5015.81,WhatsApp,2024-11-23,customer_csv,CUST_ROW_000036
M001,CUST000037,Chennai,Adyar,600020,South,New,18-24,Male,2024-03-27,1,336.33,Instagram,2024-02-28,customer_csv,CUST_ROW_000037
M001,CUST000038,Bangalore,Yelahanka,560064,South,Returning,18-24,Female,2024-07-16,13,8018.94,LinkedIn,2024-05-25,customer_csv,CUST_ROW_000038
M001,CUST000039,Bangalore,Whitefield,560066,South,New,25-34,Male,2024-03-30,1,265.04,Facebook,2024-12-11,customer_csv,CUST_ROW_000039
M001,CUST000040,Bangalore,JP Nagar,560078,South,New,25-34,Male,2024-09-02,4,2032.63,Instagram,2024-04-11,customer_csv,CUST_ROW_000040
M001,CUST000041,Kochi,Ernakulam,682011,South,High-Value,35-44,Female,2023-05-15,21,45818.78,Google Ads,2024-08-27,customer_csv,CUST_ROW_000041
M001,CUST000042,Bangalore,Marathahalli,560037,South,Returning,35-44,Female,2023-08-26,10,5149.77,Email,2024-05-12,customer_csv,CUST_ROW_000042
M001,CUST000043,Ahmedabad,Bopal,380058,West,Returning,35-44,Female,2023-11-29,17,13430.09,Instagram,2024-02-27,customer_csv,CUST_ROW_000043
M001,CUST000044,Bangalore,Electronic City,560100,South,High-Value,18-24,Male,2024-08-11,26,43251.38,WhatsApp,2024-12-31,customer_csv,CUST_ROW_000044
M001,CUST000045,Chennai,Porur,600116,South,Returning,35-44,Female,2024-02-15,16,9453.76,Instagram,2024-03-22,customer_csv,CUST_ROW_000045
M001,CUST000046,Ahmedabad,Navrangpura,380009,West,New,35-44,Female,2024-03-21,3,1416.79,Instagram,2024-12-05,customer_csv,CUST_ROW_000046
M001,CUST000047,Jaipur,Malviya Nagar,302017,North,Returning,25-34,Female,2024-03-31,8,5171.43,Facebook,2024-11-02,customer_csv,CUST_ROW_000047
M001,CUST000048,Bangalore,Yelahanka,560064,South,Returning,25-34,Female,2024-11-07,4,1889.71,Email,2024-10-24,customer_csv,CUST_ROW_000048
M001,CUST000049,Mumbai,Bandra,400050,West,Returning,25-34,Male,2024-09-22,17,9461.07,WhatsApp,2024-06-11,customer_csv,CUST_ROW_000049
M001,CUST000050,Bangalore,MG Road,560001,South,New,45-54,Male,2023-12-19,1,491.36,Facebook,2024-09-18,customer_csv,CUST_ROW_000050
M001,CUST000051,Bangalore,Whitefield,560066,South,High-Value,18-24,Female,2023-02-24,10,19957.02,Google Ads,2024-07-02,customer_csv,CUST_ROW_000051
M001,CUST000052,Bangalore,Marathahalli,560037,South,High-Value,18-24,Female,2024-02-08,50,100500.76,WhatsApp,2024-08-10,customer_csv,CUST_ROW_000052
M001,CUST000053,Bangalore,MG Road,560001,South,New,18-24,Female,2024-01-04,4,1108.53,Google Ads,2024-12-09,customer_csv,CUST_ROW_000053
M001,CUST000054,Bangalore,Koramangala,560034,South,New,18-24,Female,2024-05-13,4,2749.95,Instagram,2024-03-11,customer_csv,CUST_ROW_000054
M001,CUST000055,Bangalore,JP Nagar,560078,South,High-Value,45-54,Female,2024-03-11,33,51891.52,WhatsApp,2024-08-18,customer_csv,CUST_ROW_000055
M001,CUST000056,Bangalore,HSR Layout,560102,South,New,25-34,Female,2023-08-31,3,1216.26,Facebook,2024-07-06,customer_csv,CUST_ROW_000056
M001,CUST000057,Bangalore,Koramangala,560034,South,Returning,35-44,Male,2024-05-08,5,2568.35,WhatsApp,2024-05-23,customer_csv,CUST_ROW_000057
M001,CUST000058,Bangalore,Indiranagar,560038,South,Returning,25-34,Male,2024-10-07,5,4736.3,Facebook,2024-10-23,customer_csv,CUST_ROW_000058
M001,CUST000059,Bangalore,Koramangala,560034,South,High-Value,25-34,Male,2024-04-09,75,175522.02,Email,2024-06-18,customer_csv,CUST_ROW_000059
M001,CUST000060,Bangalore,Marathahalli,560037,South,New,18-24,Female,2023-11-08,3,692.13,Facebook,2024-03-27,customer_csv,CUST_ROW_000060
M001,CUST000061,Bangalore,MG Road,560001,South,High-Value,35-44,Female,2023-10-21,72,67699.24,Email,2024-05-22,customer_csv,CUST_ROW_000061
M001,CUST000062,Bangalore,Yelahanka,560064,South,New,45-54,Male,2023-04-25,2,1310.13,WhatsApp,2024-12-03,customer_csv,CUST_ROW_000062
M001,CUST000063,Bangalore,Whitefield,560066,South,New,35-44,Female,2024-06-24,1,371.42,Instagram,2024-03-15,customer_csv,CUST_ROW_000063
M001,CUST000064,Bangalore,Whitefield,560066,South,High-Value,35-44,Male,2024-01-28,40,76925.38,Email,2024-03-26,customer_csv,CUST_ROW_000064
M001,CUST000065,Bangalore,Bellandur,560103,South,High-Value,18-24,Male,2023-04-29,16,17358.73,WhatsApp,2024-06-03,customer_csv,CUST_ROW_000065
M001,CUST000066,Bangalore,Hebbal,560024,South,New,35-44,Male,2023-09-26,2,930.44,Facebook,2024-05-27,customer_csv,CUST_ROW_000066
M001,CUST000067,Jaipur,C Scheme,302001,North,Returning,55+,Female,2023-02-12,6,6805.02,WhatsApp,2024-08-09,customer_csv,CUST_ROW_000067
M001,CUST000068,Bangalore,MG Road,560001,South,High-Value,25-34,Male,2023-04-11,42,80320.11,WhatsApp,2024-12-11,customer_csv,CUST_ROW_000068
M001,CUST000069,Hyderabad,Secunderabad,500003,South,New,35-44,Male,2024-07-14,1,536.4,Email,2024-01-07,customer_csv,CUST_ROW_000069
M001,CUST000070,Bangalore,Hebbal,560024,South,New,25-34,Male,2023-10-18,3,889.62,Instagram,2024-02-17,customer_csv,CUST_ROW_000070
M001,CUST000071,Bangalore,Yelahanka,560064,South,Returning,35-44,Other,2024-10-15,6,5798.76,Instagram,2024-11-05,customer_csv,CUST_ROW_000071
M001,CUST000072,Bangalore,MG Road,560001,South,Returning,25-34,Female,2023-07-09,6,5739.14,Instagram,2024-08-27,customer_csv,CUST_ROW_000072
M001,CUST000073,Delhi,Dwarka,110075,North,High-Value,18-24,Male,2024-11-14,51,63111.08,LinkedIn,2024-05-21,customer_csv,CUST_ROW_000073
M001,CUST000074,Ahmedabad,Vastrapur,380054,West,New,18-24,Other,2023-09-29,2,840.57,Facebook,2024-04-12,customer_csv,CUST_ROW_000074
M001,CUST000075,Bangalore,Whitefield,560066,South,Returning,18-24,Female,2024-03-17,9,8020.56,Instagram,2024-08-14,customer_csv,CUST_ROW_000075
M001,CUST000076,Delhi,Connaught Place,110001,North,New,25-34,Male,2024-04-01,1,648.26,Instagram,2024-11-23,customer_csv,CUST_ROW_000076
M001,CUST000077,Bangalore,Koramangala,560034,South,Returning,18-24,Female,2024-02-05,3,2436.92,LinkedIn,2024-09-08,customer_csv,CUST_ROW_000077
M001,CUST000078,Bangalore,JP Nagar,560078,South,High-Value,35-44,Female,2024-07-07,38,30613.66,Google Ads,2024-09-03,customer_csv,CUST_ROW_000078
M001,CUST000079,Bangalore,Hebbal,560024,South,High-Value,25-34,Female,2024-02-15,17,31872.68,Google Ads,2024-02-16,customer_csv,CUST_ROW_000079
M001,CUST000080,Bangalore,Jayanagar,560041,South,New,25-34,Female,2024-10-25,2,576.62,Instagram,2024-07-15,customer_csv,CUST_ROW_000080
M001,CUST000081,Kolkata,Dum Dum,700028,East,High-Value,25-34,Male,2023-03-28,66,135303.37,Instagram,2024-04-08,customer_csv,CUST_ROW_000081
M001,CUST000082,Bangalore,Yelahanka,560064,South,New,25-34,Female,2024-10-20,3,1349.53,Google Ads,2024-08-18,customer_csv,CUST_ROW_000082
M001,CUST000083,Mumbai,Andheri,400053,West,New,25-34,Female,2024-02-20,1,305.84,WhatsApp,2024-09-24,customer_csv,CUST_ROW_000083
M001,CUST000084,Bangalore,MG Road,560001,South,High-Value,25-34,Female,2023-08-27,19,16391.15,Instagram,2024-11-30,customer_csv,CUST_ROW_000084
M001,CUST000085,Bangalore,Yelahanka,560064,South,New,35-44,Male,2023-06-26,1,652.33,Email,2024-02-19,customer_csv,CUST_ROW_000085
M001,CUST000086,Bangalore,Whitefield,560066,South,High-Value,18-24,Female,2023-04-27,73,132236.7,Email,2024-02-02,customer_csv,CUST_ROW_000086
M001,CUST000087,Ahmedabad,Prahlad Nagar,380015,West,High-Value,55+,Female,2023-11-29,25,61473.76,Email,2024-03-11,customer_csv,CUST_ROW_000087
M001,CUST000088,Bangalore,HSR Layout,560102,South,Returning,25-34,Male,2023-05-04,11,5642.88,Facebook,2024-12-22,customer_csv,CUST_ROW_000088
M001,CUST000089,Bangalore,Whitefield,560066,South,Returning,45-54,Male,2023-04-13,15,15331.94,Instagram,2024-09-06,customer_csv,CUST_ROW_000089
M001,CUST000090,Bangalore,Koramangala,560034,South,New,18-24,Female,2023-10-18,4,2187.01,WhatsApp,2024-08-31,customer_csv,CUST_ROW_000090
M001,CUST000091,Hyderabad,Gachibowli,500032,South,Returning,25-34,Male,2023-06-28,4,3508.07,WhatsApp,2024-11-09,customer_csv,CUST_ROW_000091
M001,CUST000092,Kolkata,Ballygunge,700019,East,Returning,25-34,Male,2024-06-26,6,5370.82,Email,2024-10-03,customer_csv,CUST_ROW_000092
M001,CUST000093,Bangalore,Electronic City,560100,South,Returning,35-44,Male,2023-07-18,6,6223.74,WhatsApp,2024-08-30,customer_csv,CUST_ROW_000093
M001,CUST000094,Bangalore,Whitefield,560066,South,Returning,18-24,Female,2023-10-19,9,6729.64,Facebook,2024-08-20,customer_csv,CUST_ROW_000094
M001,CUST000095,Bangalore,Bellandur,560103,South,New,25-34,Male,2023-01-30,4,1829.81,Instagram,2024-04-30,customer_csv,CUST_ROW_000095
M001,CUST000096,Chennai,Velachery,600042,South,New,35-44,Male,2023-04-23,3,941.67,Instagram,2024-07-30,customer_csv,CUST_ROW_000096
M001,CUST000097,Ahmedabad,Bopal,380058,West,New,25-34,Male,2024-03-22,2,616.17,Facebook,2024-04-01,customer_csv,CUST_ROW_000097
M001,CUST000098,Bangalore,Whitefield,560066,South,Returning,18-24,Male,2023-10-04,9,6018.42,Instagram,2024-10-18,customer_csv,CUST_ROW_000098
M001,CUST000099,Bangalore,Whitefield,560066,South,New,25-34,Male,2023-12-18,2,1286.41,Facebook,2024-11-22,customer_csv,CUST_ROW_000099
M001,CUST000100,Pune,Hadapsar,411028,West,High-Value,45-54,Male,2024-06-18,72,163133.16,Facebook,2024-08-30,customer_csv,CUST_ROW_000100
M001,CUST000101,Kolkata,Park Street,700016,East,Returning,35-44,Male,2023-12-02,16,13817.18,Email,2024-10-29,customer_csv,CUST_ROW_000101
M001,CUST000102,Mumbai,Powai,400076,West,High-Value,18-24,Female,2024-05-31,14,21331.6,WhatsApp,2024-12-22,customer_csv,CUST_ROW_000102
M001,CUST000103,Jaipur,C Scheme,302001,North,New,25-34,Male,2024-02-21,2,532.71,Instagram,2024-11-27,customer_csv,CUST_ROW_000103
M001,CUST000104,Mumbai,Powai,400076,West,Returning,18-24,Female,2024-08-07,3,3543.41,Facebook,2024-03-11,customer_csv,CUST_ROW_000104
M001,CUST000105,Ahmedabad,Bopal,380058,West,Returning,25-34,Female,2024-10-10,3,3264.92,Instagram,2024-12-19,customer_csv,CUST_ROW_000105
M001,CUST000106,Bangalore,Koramangala,560034,South,New,35-44,Female,2024-09-19,2,1187.69,Instagram,2024-06-20,customer_csv,CUST_ROW_000106
M001,CUST000107,Mumbai,Thane,400601,West,High-Value,35-44,Female,2023-04-24,59,83868.76,Email,2024-07-06,customer_csv,CUST_ROW_000107
M001,CUST000108,Bangalore,MG Road,560001,South,Returning,18-24,Female,2023-07-29,7,8295.01,Instagram,2024-02-28,customer_csv,CUST_ROW_000108
M001,CUST000109,Bangalore,Bellandur,560103,South,High-Value,25-34,Other,2023-08-03,38,51101.96,Google Ads,2024-09-14,customer_csv,CUST_ROW_000109
M001,CUST000110,Kolkata,Park Street,700016,East,New,25-34,Female,2024-06-23,1,435.08,Facebook,2024-09-29,customer_csv,CUST_ROW_000110
M001,CUST000111,Jaipur,Tonk Road,302018,North,New,35-44,Female,2023-03-09,2,1291.9,Facebook,2024-02-11,customer_csv,CUST_ROW_000111
M001,CUST000112,Bangalore,Whitefield,560066,South,New,55+,Male,2023-10-10,1,548.54,Facebook,2024-04-14,customer_csv,CUST_ROW_000112
M001,CUST000113,Bangalore,MG Road,560001,South,New,25-34,Female,2023-05-16,4,1493.4,Facebook,2024-11-26,customer_csv,CUST_ROW_000113
M001,CUST000114,Bangalore,HSR Layout,560102,South,New,45-54,Male,2024-06-16,3,1217.54,Instagram,2024-11-26,customer_csv,CUST_ROW_000114
M001,CUST000115,Jaipur,Tonk Road,302018,North,Returning,25-34,Female,2024-04-13,12,10245.62,Email,2024-06-05,customer_csv,CUST_ROW_000115
M001,CUST000116,Bangalore,Marathahalli,560037,South,New,25-34,Male,2023-02-18,2,753.12,Facebook,2024-03-26,customer_csv,CUST_ROW_000116
M001,CUST000117,Bangalore,Whitefield,560066,South,Returning,18-24,Other,2024-12-26,7,3703.03,Instagram,2024-06-11,customer_csv,CUST_ROW_000117
M001,CUST000118,Bangalore,Electronic City,560100,South,New,18-24,Female,2023-02-05,3,2067.03,Instagram,2024-08-17,customer_csv,CUST_ROW_000118
M001,CUST000119,Bangalore,Whitefield,560066,South,Returning,18-24,Male,2024-05-26,7,8107.62,LinkedIn,2024-03-20,customer_csv,CUST_ROW_000119
M001,CUST000120,Bangalore,Bellandur,560103,South,Returning,25-34,Female,2023-10-30,18,20102.08,Google Ads,2024-10-20,customer_csv,CUST_ROW_000120
M001,CUST000121,Jaipur,Mansarovar,302020,North,Returning,35-44,Female,2023-05-23,20,9870.02,Instagram,2024-11-12,customer_csv,CUST_ROW_000121
M001,CUST000122,Jaipur,Mansarovar,302020,North,New,18-24,Female,2024-08-20,2,1181.28,WhatsApp,2024-04-10,customer_csv,CUST_ROW_000122
M001,CUST000123,Bangalore,Hebbal,560024,South,High-Value,35-44,Other,2024-06-08,60,67833.9,WhatsApp,2024-11-05,customer_csv,CUST_ROW_000123
M001,CUST000124,Bangalore,Koramangala,560034,South,High-Value,25-34,Male,2024-03-13,57,83014.31,Instagram,2024-06-25,customer_csv,CUST_ROW_000124
M001,CUST000125,Bangalore,Electronic City,560100,South,High-Value,18-24,Female,2024-03-30,63,136474.72,WhatsApp,2024-08-05,customer_csv,CUST_ROW_000125
M001,CUST000126,Ahmedabad,Bopal,380058,West,High-Value,25-34,Male,2023-11-07,70,173617.51,Email,2024-06-20,customer_csv,CUST_ROW_000126
M001,CUST000127,Bangalore,Yelahanka,560064,South,Returning,18-24,Male,2023-10-07,16,8638.63,Facebook,2024-10-17,customer_csv,CUST_ROW_000127
M001,CUST000128,Pune,Hinjewadi,411057,West,New,25-34,Female,2023-02-13,3,1851.88,Instagram,2024-10-13,customer_csv,CUST_ROW_000128
M001,CUST000129,Hyderabad,Banjara Hills,500034,South,Returning,18-24,Male,2024-10-17,18,8988.15,WhatsApp,2024-05-27,customer_csv,CUST_ROW_000129
M001,CUST000130,Bangalore,Electronic City,560100,South,High-Value,25-34,Male,2023-10-11,73,181796.72,Instagram,2024-07-04,customer_csv,CUST_ROW_000130
M001,CUST000131,Bangalore,Yelahanka,560064,South,Returning,18-24,Female,2024-12-11,6,4191.37,WhatsApp,2024-01-09,customer_csv,CUST_ROW_000131
M001,CUST000132,Pune,Hadapsar,411028,West,New,25-34,Female,2023-05-19,3,844.96,Instagram,2024-08-02,customer_csv,CUST_ROW_000132
M001,CUST000133,Bangalore,Jayanagar,560041,South,New,18-24,Female,2023-03-20,2,1166.44,Instagram,2024-02-18,customer_csv,CUST_ROW_000133
M001,CUST000134,Bangalore,Whitefield,560066,South,Returning,45-54,Female,2024-12-02,12,7406.01,WhatsApp,2024-07-04,customer_csv,CUST_ROW_000134
M001,CUST000135,Bangalore,Yelahanka,560064,South,New,18-24,Male,2023-10-16,3,1768.21,Facebook,2024-03-24,customer_csv,CUST_ROW_000135
M001,CUST000136,Bangalore,Whitefield,560066,South,Returning,35-44,Female,2024-07-26,19,20460.26,WhatsApp,2024-12-25,customer_csv,CUST_ROW_000136
M001,CUST000137,Delhi,Dwarka,110075,North,Returning,18-24,Female,2023-01-18,18,12214.22,WhatsApp,2024-03-12,customer_csv,CUST_ROW_000137
M001,CUST000138,Kochi,Edapally,682024,South,New,25-34,Female,2023-05-02,2,528.71,WhatsApp,2024-12-18,customer_csv,CUST_ROW_000138
M001,CUST000139,Bangalore,Whitefield,560066,South,New,55+,Male,2023-04-25,1,209.4,Facebook,2024-08-08,customer_csv,CUST_ROW_000139
M001,CUST000140,Bangalore,Indiranagar,560038,South,New,35-44,Female,2024-04-25,1,654.26,Instagram,2024-06-03,customer_csv,CUST_ROW_000140
M001,CUST000141,Delhi,Connaught Place,110001,North,High-Value,18-24,Female,2023-07-09,54,45885.99,Instagram,2024-05-22,customer_csv,CUST_ROW_000141
M001,CUST000142,Chennai,Anna Nagar,600040,South,New,25-34,Female,2023-09-05,1,249.55,Facebook,2024-01-08,customer_csv,CUST_ROW_000142
M001,CUST000143,Bangalore,Bellandur,560103,South,New,18-24,Female,2024-07-04,1,686.79,Instagram,2024-04-19,customer_csv,CUST_ROW_000143
M001,CUST000144,Jaipur,Mansarovar,302020,North,Returning,18-24,Female,2023-04-20,8,8542.35,Google Ads,2024-08-05,customer_csv,CUST_ROW_000144
M001,CUST000145,Bangalore,HSR Layout,560102,South,Returning,35-44,Male,2024-04-22,6,4894.69,Facebook,2024-07-03,customer_csv,CUST_ROW_000145
M001,CUST000146,Kochi,Ernakulam,682011,South,New,25-34,Male,2024-04-12,3,1630.57,Email,2024-04-25,customer_csv,CUST_ROW_000146
M001,CUST000147,Bangalore,Marathahalli,560037,South,High-Value,25-34,Female,2024-05-02,57,62973.91,Google Ads,2024-09-08,customer_csv,CUST_ROW_000147
M001,CUST000148,Ahmedabad,Vastrapur,380054,West,Returning,35-44,Male,2024-02-09,15,14340.45,Google Ads,2024-03-27,customer_csv,CUST_ROW_000148
M001,CUST000149,Bangalore,HSR Layout,560102,South,New,25-34,Other,2023-05-06,2,1238.11,WhatsApp,2024-05-22,customer_csv,CUST_ROW_000149
M001,CUST000150,Kolkata,Dum Dum,700028,East,New,35-44,Other,2024-05-11,3,821.06,Facebook,2024-03-03,customer_csv,CUST_ROW_000150
M001,CUST000151,Bangalore,Electronic City,560100,South,New,45-54,Male,2023-02-24,1,449.07,Instagram,2024-04-01,customer_csv,CUST_ROW_000151
M001,CUST000152,Bangalore,MG Road,560001,South,New,25-34,Female,2023-03-20,4,2385.46,Instagram,2024-12-04,customer_csv,CUST_ROW_000152
M001,CUST000153,Bangalore,Hebbal,560024,South,New,25-34,Female,2024-07-13,1,676.29,Instagram,2024-08-08,customer_csv,CUST_ROW_000153
M001,CUST000154,Delhi,Dwarka,110075,North,Returning,45-54,Male,2023-02-06,4,2165.98,WhatsApp,2024-06-04,customer_csv,CUST_ROW_000154
M001,CUST000155,Pune,Kothrud,411038,West,Returning,25-34,Male,2023-04-23,18,16705.13,WhatsApp,2024-10-19,customer_csv,CUST_ROW_000155
M001,CUST000156,Bangalore,Hebbal,560024,South,High-Value,25-34,Male,2024-05-21,58,107230.25,WhatsApp,2024-05-25,customer_csv,CUST_ROW_000156
M001,CUST000157,Bangalore,Koramangala,560034,South,Returning,18-24,Male,2024-08-20,3,3036.47,WhatsApp,2024-07-13,customer_csv,CUST_ROW_000157
M001,CUST000158,Bangalore,Jayanagar,560041,South,High-Value,25-34,Male,2023-09-08,41,49153.16,WhatsApp,2024-02-13,customer_csv,CUST_ROW_000158
M001,CUST000159,Delhi,Rohini,110085,North,New,18-24,Female,2023-02-08,4,2115.54,Facebook,2024-09-20,customer_csv,CUST_ROW_000159
M001,CUST000160,Kolkata,Park Street,700016,East,Returning,25-34,Other,2024-01-22,15,9869.06,Instagram,2024-09-07,customer_csv,CUST_ROW_000160
M001,CUST000161,Bangalore,MG Road,560001,South,New,25-34,Female,2024-11-14,3,849.94,Instagram,2024-08-11,customer_csv,CUST_ROW_000161
M001,CUST000162,Bangalore,MG Road,560001,South,High-Value,35-44,Female,2024-07-02,37,47674.66,Instagram,2024-10-20,customer_csv,CUST_ROW_000162
M001,CUST000163,Bangalore,HSR Layout,560102,South,Returning,55+,Female,2024-08-15,6,5240.95,Instagram,2024-10-17,customer_csv,CUST_ROW_000163
M001,CUST000164,Jaipur,C Scheme,302001,North,New,35-44,Female,2023-11-06,3,1249.37,Facebook,2024-04-12,customer_csv,CUST_ROW_000164
M001,CUST000165,Bangalore,Marathahalli,560037,South,Returning,25-34,Female,2023-07-04,3,2706.83,Facebook,2024-04-05,customer_csv,CUST_ROW_000165
M001,CUST000166,Bangalore,HSR Layout,560102,South,Returning,35-44,Female,2023-10-02,20,20942.94,Email,2024-08-10,customer_csv,CUST_ROW_000166
M001,CUST000167,Mumbai,Thane,400601,West,New,25-34,Male,2024-12-02,3,1866.18,Facebook,2024-02-02,customer_csv,CUST_ROW_000167
M001,CUST000168,Bangalore,JP Nagar,560078,South,New,18-24,Male,2024-12-04,2,805.87,Instagram,2024-04-08,customer_csv,CUST_ROW_000168
M001,CUST000169,Bangalore,Marathahalli,560037,South,Returning,25-34,Male,2024-10-24,4,2246.37,Instagram,2024-01-15,customer_csv,CUST_ROW_000169
M001,CUST000170,Bangalore,Marathahalli,560037,South,Returning,18-24,Female,2024-05-12,3,1332.79,Email,2024-06-09,customer_csv,CUST_ROW_000170
M001,CUST000171,Bangalore,Indiranagar,560038,South,High-Value,25-34,Male,2024-11-04,21,30969.15,Google Ads,2024-03-12,customer_csv,CUST_ROW_000171
M001,CUST000172,Bangalore,Yelahanka,560064,South,Returning,45-54,Female,2024-08-17,19,11427.48,Email,2024-05-01,customer_csv,CUST_ROW_000172
M001,CUST000173,Bangalore,Jayanagar,560041,South,New,25-34,Male,2023-08-30,4,1236.02,Instagram,2024-04-19,customer_csv,CUST_ROW_000173
