merchant_id,content_id,campaign_id,product_id,sku,channel,content_type,caption_angle,scheduled_datetime,published_datetime,engagements,likes,comments,shares,saves,clicks,conversions,status,source,source_row_id
M001,CONT000073,CAMP002685,PROD000438,SKU000438,WhatsApp,WhatsApp Broadcast,discount,2024-10-13 09:19:58,2024-10-13 11:12:58,155,90,9,10,8,24,5,failed,content_calendar_csv,CONT_ROW_000073
M001,CONT000074,NA,PROD000482,SKU000482,Instagram,Story,discount,2024-09-04 12:11:23,2024-09-04 12:45:23,3408,1979,147,90,123,262,15,published,content_calendar_csv,CONT_ROW_000074
M001,CONT000075,CAMP000030,PROD000001,SKU000001,LinkedIn,Static Post,comfort,2024-12-01 22:08:04,2024-12-01 23:51:04,1808,775,176,105,73,145,2,published,content_calendar_csv,CONT_ROW_000075
M001,CONT000076,CAMP002278,PROD000465,SKU000465,Email,Email,utility,2024-03-18 21:51:19,2024-03-18 23:25:19,2644,1763,89,66,361,365,41,published,content_calendar_csv,CONT_ROW_000076
M001,CONT000077,CAMP004539,PROD000450,SKU000450,LinkedIn,Static Post,comfort,2024-05-01 21:37:02,2024-05-01 22:17:02,601,419,51,13,63,20,0,published,content_calendar_csv,CONT_ROW_000077
M001,CONT000078,CAMP002160,PROD000011,SKU000011,Instagram,Reel,limited_stock,2024-05-05 03:59:28,2024-05-05 05:11:28,9246,4012,814,626,1186,760,24,published,content_calendar_csv,CONT_ROW_000078
M001,CONT000079,CAMP000469,PROD000222,SKU000222,LinkedIn,Static Post,festive,2024-11-25 23:14:03,2024-11-26 00:06:03,584,335,29,25,85,25,1,published,content_calendar_csv,CONT_ROW_000079
M001,CONT000080,CAMP004142,PROD000001,SKU000001,Email,Email,everyday_style,2024-08-09 17:08:02,2024-08-09 18:02:02,1525,759,82,76,131,115,13,published,content_calendar_csv,CONT_ROW_000080
M001,CONT000081,CAMP001497,PROD000028,SKU000028,Email,Email,social_proof,2024-05-30 19:59:47,2024-05-30 20:26:47,1880,936,224,79,195,353,30,published,content_calendar_csv,CONT_ROW_000081
M001,CONT000082,CAMP000083,PROD000397,SKU000397,Facebook,Carousel,everyday_style,2024-10-16 11:12:25,2024-10-16 12:44:25,1249,811,110,82,75,49,0,published,content_calendar_csv,CONT_ROW_000082
M001,CONT000083,NA,PROD000377,SKU000377,LinkedIn,Carousel,utility,2024-11-14 00:42:06,2024-11-14 02:41:06,791,511,27,27,50,60,3,published,content_calendar_csv,CONT_ROW_000083
M001,CONT000084,CAMP003612,PROD000325,SKU000325,Facebook,Story,social_proof,2024-10-18 04:47:37,2024-10-18 06:34:37,1570,1076,158,54,74,39,1,published,content_calendar_csv,CONT_ROW_000084
M001,CONT000085,CAMP001702,PROD000446,SKU000446,WhatsApp,WhatsApp Broadcast,festive,2024-11-20 04:37:33,2024-11-20 05:13:33,718,486,28,40,99,178,18,published,content_calendar_csv,CONT_ROW_000085
M001,CONT000086,CAMP001581,PROD000335,SKU000335,Email,Email,everyday_style,2024-05-16 23:06:22,2024-05-17 00:15:22,2645,1175,218,92,307,141,5,failed,content_calendar_csv,CONT_ROW_000086
M001,CONT000087,CAMP000345,PROD000206,SKU000206,Email,Email,limited_stock,2024-12-24 10:11:47,2024-12-24 11:26:47,1409,699,124,75,115,236,10,published,content_calendar_csv,CONT_ROW_000087
M001,CONT000088,CAMP003072,PROD000213,SKU000213,Facebook,Reel,lifestyle,2024-05-14 14:40:06,2024-05-14 15:56:06,7342,4602,689,385,782,257,3,published,content_calendar_csv,CONT_ROW_000088
M001,CONT000089,CAMP001910,PROD000262,SKU000262,WhatsApp,WhatsApp Broadcast,comfort,2024-10-22 02:57:41,2024-10-22 03:40:41,270,112,22,18,29,54,6,published,content_calendar_csv,CONT_ROW_000089
M001,CONT000090,CAMP000304,PROD000141,SKU000141,LinkedIn,Static Post,everyday_style,2024-07-18 18:31:17,2024-07-18 19:48:17,788,467,40,60,114,38,1,published,content_calendar_csv,CONT_ROW_000090
M001,CONT000091,CAMP000612,PROD000034,SKU000034,Instagram,Story,new_launch,2024-04-02 20:50:10,2024-04-02 21:29:10,3548,1474,159,275,312,281,6,published,content_calendar_csv,CONT_ROW_000091
M001,CONT000092,CAMP001668,PROD000162,SKU000162,Facebook,Static Post,new_launch,2024-05-07 18:30:04,2024-05-07 18:51:04,1395,616,111,69,177,66,1,published,content_calendar_csv,CONT_ROW_000092
M001,CONT000093,CAMP002207,PROD000422,SKU000422,Instagram,Static Post,premium,2024-12-21 04:06:53,2024-12-21 04:16:53,254,143,12,17,24,5,0,published,content_calendar_csv,CONT_ROW_000093
M001,CONT000094,CAMP002080,PROD000240,SKU000240,Email,Email,lifestyle,2024-12-03 12:14:18,2024-12-03 13:55:18,2406,1311,273,94,285,416,16,published,content_calendar_csv,CONT_ROW_000094
M001,CONT000095,CAMP002284,PROD000001,SKU000001,Instagram,Reel,new_launch,2024-02-17 01:15:43,2024-02-17 02:21:43,2734,1453,290,119,104,85,2,published,content_calendar_csv,CONT_ROW_000095
M001,CONT000096,CAMP001694,PROD000088,SKU000088,WhatsApp,WhatsApp Broadcast,everyday_style,2024-07-20 07:54:22,2024-07-20 09:15:22,698,380,63,17,51,92,6,published,content_calendar_csv,CONT_ROW_000096
M001,CONT000097,CAMP000482,PROD000001,SKU000001,Email,Email,lifestyle,2024-11-02 16:09:17,2024-11-02 17:06:17,2170,1223,191,92,322,410,44,published,content_calendar_csv,CONT_ROW_000097
M001,CONT000098,CAMP002710,PROD000412,SKU000412,WhatsApp,WhatsApp Broadcast,limited_stock,2024-11-16 20:24:26,2024-11-16 20:37:26,445,210,14,31,41,76,4,published,content_calendar_csv,CONT_ROW_000098
M001,CONT000099,CAMP004930,PROD000170,SKU000170,Instagram,Carousel,social_proof,2024-08-03 08:19:58,2024-08-03 09:26:58,1286,690,56,29,180,58,3,published,content_calendar_csv,CONT_ROW_000099
M001,CONT000100,CAMP004408,PROD000073,SKU000073,Instagram,Static Post,everyday_style,2024-12-13 15:14:18,2024-12-13 16:31:18,4397,2183,179,241,181,275,16,published,content_calendar_csv,CONT_ROW_000100
M001,CONT000101,CAMP001142,PROD000403,SKU000403,WhatsApp,WhatsApp Broadcast,limited_stock,2024-04-02 21:48:10,2024-04-02 22:08:10,780,479,86,24,116,259,16,published,content_calendar_csv,CONT_ROW_000101
M001,CONT000102,CAMP002758,PROD000320,SKU000320,Email,Email,discount,2024-08-22 14:29:57,2024-08-22 16:21:57,2942,1708,113,179,380,306,29,published,content_calendar_csv,CONT_ROW_000102
M001,CONT000103,CAMP004422,PROD000400,SKU000400,WhatsApp,WhatsApp Broadcast,new_launch,2024-02-02 15:01:49,2024-02-02 16:41:49,730,297,79,40,26,187,20,published,content_calendar_csv,CONT_ROW_000103
M001,CONT000104,CAMP002649,PROD000047,SKU000047,Email,Email,festive,2024-12-07 10:11:24,2024-12-07 11:04:24,796,529,30,16,118,76,8,published,content_calendar_csv,CONT_ROW_000104
M001,CONT000105,CAMP001618,PROD000160,SKU000160,Email,Email,premium,2024-01-23 10:07:23,2024-01-23 11:57:23,1088,547,123,64,88,124,11,published,content_calendar_csv,CONT_ROW_000105
M001,CONT000106,CAMP004230,PROD000281,SKU000281,WhatsApp,WhatsApp Broadcast,everyday_style,2024-07-19 15:57:59,2024-07-19 16:21:59,54,22,3,3,1,10,0,published,content_calendar_csv,CONT_ROW_000106
M001,CONT000107,CAMP000560,PROD000149,SKU000149,LinkedIn,Carousel,everyday_style,2024-12-27 06:19:46,2024-12-27 07:00:46,867,448,76,30,40,38,0,published,content_calendar_csv,CONT_ROW_000107
M001,CONT000108,CAMP002083,PROD000001,SKU000001,Email,Email,lifestyle,2024-09-09 10:32:53,2024-09-09 11:47:53,614,294,59,28,72,105,9,published,content_calendar_csv,CONT_ROW_000108
M001,CONT000109,CAMP002416,PROD000054,SKU000054,Email,Email,festive,2024-11-10 06:26:41,2024-11-10 06:53:41,1381,957,50,36,171,169,15,failed,content_calendar_csv,CONT_ROW_000109
M001,CONT000110,CAMP003755,PROD000153,SKU000153,Facebook,Static Post,social_proof,2024-02-01 03:01:14,2024-02-01 04:21:14,1499,778,91,79,190,96,4,cancelled,content_calendar_csv,CONT_ROW_000110
M001,CONT000111,CAMP001808,PROD000096,SKU000096,Email,Email,comfort,2024-07-21 23:06:56,2024-07-22 00:38:56,563,243,32,36,20,47,3,published,content_calendar_csv,CONT_ROW_000111
M001,CONT000112,CAMP002985,PROD000317,SKU000317,WhatsApp,WhatsApp Broadcast,utility,2024-10-25 21:45:11,2024-10-25 23:19:11,75,32,3,4,6,16,3,published,content_calendar_csv,CONT_ROW_000112
M001,CONT000113,CAMP004253,PROD000189,SKU000189,Email,Email,utility,2024-03-07 23:07:58,2024-03-08 00:17:58,129,51,12,6,7,20,2,published,content_calendar_csv,CONT_ROW_000113
M001,CONT000114,CAMP000372,PROD000343,SKU000343,Facebook,Static Post,comfort,2024-02-01 02:48:00,2024-02-01 04:48:00,373,260,35,26,40,14,0,published,content_calendar_csv,CONT_ROW_000114
M001,CONT000115,CAMP001363,PROD000236,SKU000236,WhatsApp,WhatsApp Broadcast,everyday_style,2024-02-09 09:45:25,2024-02-09 09:56:25,778,386,70,23,84,162,39,published,content_calendar_csv,CONT_ROW_000115
M001,CONT000116,CAMP001585,PROD000451,SKU000451,Instagram,Static Post,new_launch,2024-09-10 10:12:19,2024-09-10 11:03:19,1219,638,93,97,118,50,1,published,content_calendar_csv,CONT_ROW_000116
M001,CONT000117,CAMP001011,PROD000219,SKU000219,Email,Email,everyday_style,2024-11-07 16:57:30,2024-11-07 18:53:30,755,345,56,20,78,39,2,published,content_calendar_csv,CONT_ROW_000117
M001,CONT000118,NA,PROD000083,SKU000083,Instagram,Static Post,comfort,2024-09-16 11:06:33,2024-09-16 11:09:33,1210,504,47,77,104,58,3,published,content_calendar_csv,CONT_ROW_000118
M001,CONT000119,CAMP002725,PROD000256,SKU000256,Email,Email,social_proof,2024-01-05 16:13:38,2024-01-05 17:27:38,735,340,48,55,60,93,3,published,content_calendar_csv,CONT_ROW_000119
M001,CONT000120,CAMP000172,PROD000466,SKU000466,Instagram,Story,utility,2024-06-19 22:09:55,2024-06-19 23:31:55,1162,558,118,57,165,57,3,published,content_calendar_csv,CONT_ROW_000120
M001,CONT000121,NA,PROD000208,SKU000208,Facebook,Reel,lifestyle,2024-04-21 22:49:33,2024-04-21 23:15:33,6285,2523,721,502,629,138,8,published,content_calendar_csv,CONT_ROW_000121
M001,CONT000122,CAMP000554,PROD000036,SKU000036,Email,Email,festive,2024-04-10 13:45:35,2024-04-10 15:41:35,2918,1907,180,182,310,166,16,published,content_calendar_csv,CONT_ROW_000122
M001,CONT000123,CAMP000541,PROD000441,SKU000441,LinkedIn,Static Post,limited_stock,2024-10-14 12:08:58,2024-10-14 14:03:58,1894,807,153,93,255,62,1,published,content_calendar_csv,CONT_ROW_000123
M001,CONT000124,CAMP001500,PROD000220,SKU000220,Instagram,Reel,new_launch,2024-07-10 16:50:29,2024-07-10 18:24:29,14372,7207,1548,668,1993,767,53,published,content_calendar_csv,CONT_ROW_000124
M001,CONT000125,CAMP000057,PROD000411,SKU000411,Facebook,Carousel,lifestyle,2024-11-01 18:56:13,2024-11-01 19:42:13,6800,4201,698,437,420,306,18,published,content_calendar_csv,CONT_ROW_000125
M001,CONT000126,CAMP000916,PROD000487,SKU000487,Email,Email,discount,2024-03-08 11:19:45,2024-03-08 12:41:45,2298,1426,92,118,335,154,15,scheduled,content_calendar_csv,CONT_ROW_000126
M001,CONT000127,CAMP001178,PROD000174,SKU000174,LinkedIn,Carousel,new_launch,2024-02-27 01:07:18,2024-02-27 01:31:18,1098,563,117,26,93,102,4,published,content_calendar_csv,CONT_ROW_000127
M001,CONT000128,CAMP001612,PROD000490,SKU000490,Instagram,Reel,comfort,2024-04-15 13:22:32,2024-04-15 15:16:32,2949,1485,347,166,264,284,5,published,content_calendar_csv,CONT_ROW_000128
M001,CONT000129,NA,PROD000350,SKU000350,Facebook,Reel,comfort,2024-02-09 03:19:47,2024-02-09 04:05:47,4482,2205,295,177,183,371,23,published,content_calendar_csv,CONT_ROW_000129
M001,CONT000130,CAMP002086,PROD000291,SKU000291,Instagram,Carousel,lifestyle,2024-06-23 23:44:50,2024-06-24 00:15:50,3232,1850,129,182,403,304,13,published,content_calendar_csv,CONT_ROW_000130
